esyrce,numeric
AR,1
TD,2
TB,3
C2,4
C6,4
AV,5
CN,6
TT,7
MA,8
SR,9
QN,10
JS,11
HS,12
LE,13
GA,14
GS,15
GV,15
VE,16
AT,17
YE,18
CC,19
PT,20
BT,21
CY,22
ET,23
RM,24
AD,25
GI,26
CZ,27
LN,28
KM,29
KR,30
TA,31
PD,32
LU,33
SO,34
CA,35
FN,36
MO,37
SA,38
NR,39
MR,40
LI,41
NG,42
PA,43
MB,44
NI,45
AB,46
CE,47
ME,48
CR,49
HI,50
CH,51
AU,52
PL,53
CQ,54
PY,55
P¥,56
KW,57
CU,58
MG,59
GR,60
NU,61
CJ,62
FB,63
OM,64
OD,64
OT,64
V1,65
V2,65
V3,65
V4,65
VT,65
AM,66
MN,67
AE,68
AL,69
PE,70
PX,71
AF,72
NF,73
RF,74
CS,75
AZ,76
AJ,77
AC,78
AP,79
BE,80
CW,81
MD,82
CB,83
ST,84
HP,85
CL,86
CI,87
CM,88
CK,89
EL,90
EP,91
EI,92
GE,93
JV,94
LC,95
LO,96
PI,97
PQ,98
PU,99
RW,100
TO,101
CT,102
